Trial,Bath,Location,Temp C,Temp F,Temp1,Temp2,Pred,Surv,Counter,Observer,Eggs?,Molt?
1,1,1,32,89,90.5,91.8,Copto,57,,,N,N
1,1,2,32,89,90.5,91.8,Buenoa,67,,,N,N
1,1,3,32,89,90.5,91.8,Irrorata,90,,,N,N
1,1,4,32,89,90.5,91.8,Indica,30,,,N,N
1,1,6,32,89,90.5,91.8,Control,98,,,N,N
1,4,1,12,53.6,54,53.1,Irrorata,93,,,N,N
1,4,2,12,53.6,54,53.1,Buenoa,97,,,N,N
1,4,4,12,53.6,54,53.1,Control,96,,,N,N
1,4,5,12,53.6,54,53.1,Copto,87,,,N,N
1,4,6,12,53.6,54,53.1,Indica,51,,,N,N
1,9,1,4,39.2,41.2,47.8,Irrorata,NA,,,N,N
1,9,2,4,39.2,41.2,47.8,Copto,101,,,N,N
1,9,3,4,39.2,41.2,47.8,Buenoa,96,,,N,N
1,9,4,4,39.2,41.2,47.8,Indica,82,,,N,N
1,9,6,4,39.2,41.2,47.8,Control,104,,,N,N
1,13,1,20,68,68.2,68.9,Irrorata,98,,,N,N
1,13,3,20,68,68.2,68.9,Buenoa,52,,,N,N
1,13,4,20,68,68.2,68.9,Copto,83,,,N,N
1,13,5,20,68,68.2,68.9,Control,94,,,N,N
1,13,6,20,68,68.2,68.9,Indica,19,,,N,N
1,14,1,25,77,76.6,76.8,Indica,71,,,N,N
1,14,3,25,77,76.6,76.8,Irrorata,81,,,N,N
1,14,4,25,77,76.6,76.8,Control,100,,,N,N
1,14,5,25,77,76.6,76.8,Copto,84,,,N,N
1,14,6,25,77,76.6,76.8,Buenoa,85,,,N,N
1,15,1,30,86,83.7,86.9,Indica,5,,,N,N
1,15,2,30,86,83.7,86.9,Irrorata,92,,,N,N
1,15,3,30,86,83.7,86.9,Control,95,,,N,N
1,15,5,30,86,83.7,86.9,Buenoa,NA,,,N,N
1,15,6,30,86,83.7,86.9,Copto,65,,,N,N
1,16,1,27,80.6,81.1,80.8,Indica,65,,,N,N
1,16,3,27,80.6,81.1,80.8,Buenoa,61,,,N,N
1,16,4,27,80.6,81.1,80.8,Control,94,,,N,N
1,16,5,27,80.6,81.1,80.8,Irrorata,97,,,N,N
1,16,6,27,80.6,81.1,80.8,Copto,68,,,N,N
2,2,1,25,77,75.9,75.7,Pachy,96,,,N,N
2,2,2,25,77,75.9,75.7,Buenoa,61,,,N,N
2,2,3,25,77,75.9,75.7,Copto,69,,,N,N
2,2,4,25,77,75.9,75.7,Irrorata,91,,,N,N
2,2,5,25,77,75.9,75.7,Indica,28,,,N,N
2,2,6,25,77,75.9,75.7,Control,93,,,N,N
2,3,1,30,86,84.4,83.6,Copto,50,,,N,N
2,3,2,30,86,84.4,83.6,Irrorata,79,,,N,N
2,3,3,30,86,84.4,83.6,Pachy,97,,,N,N
2,3,4,30,86,84.4,83.6,Indica,32,,,N,N
2,3,5,30,86,84.4,83.6,Control,95,,,N,N
2,3,6,30,86,84.4,83.6,Buenoa,41,,,N,N
2,5,1,35,95,94.3,83.6,Buenoa,25,,,N,N
2,5,2,35,95,94.3,83.6,Pachy,56,,,N,N
2,5,3,35,95,94.3,83.6,Indica,7,,,N,N
2,5,4,35,95,94.3,83.6,Control,60,,,N,N
2,5,5,35,95,94.3,83.6,Copto,32,,,N,N
2,5,6,35,95,94.3,83.6,Irrorata,61,,,N,N
2,9,1,4,39.2,46,48.6,Copto,91,,,N,N
2,9,2,4,39.2,46,48.6,Buenoa,89,,,N,N
2,9,3,4,39.2,46,48.6,Indica,65,,,N,N
2,9,4,4,39.2,46,48.6,Control,90,,,N,N
2,9,5,4,39.2,46,48.6,Irrorata,89,,,N,N
2,9,6,4,39.2,46,48.6,Pachy,92,,,N,N
2,10,1,32,89.6,86.9,92.5,Copto,33,,,N,N
2,10,2,32,89.6,86.9,92.5,Pachy,47,,,N,N
2,10,3,32,89.6,86.9,92.5,Irrorata,80,,,N,N
2,10,4,32,89.6,86.9,92.5,Control,62,,,N,N
2,10,5,32,89.6,86.9,92.5,Buenoa,44,,,N,N
2,10,6,32,89.6,86.9,92.5,Indica,4,,,N,N
2,11,1,27,80.6,80.6,79.3,Buenoa,74,,,N,N
2,11,2,27,80.6,80.6,79.3,Irrorata,90,,,N,N
2,11,3,27,80.6,80.6,79.3,Indica,22,,,N,N
2,11,4,27,80.6,80.6,79.3,Copto,59,,,N,N
2,11,5,27,80.6,80.6,79.3,Pachy,NA,,,N,N
2,11,6,27,80.6,80.6,79.3,Control,97,,,N,N
2,13,1,20,68,67.6,67.8,Control,98,,,N,N
2,13,2,20,68,67.6,67.8,Pachy,74,,,N,N
2,13,3,20,68,67.6,67.8,Indica,40,,,N,N
2,13,4,20,68,67.6,67.8,Buenoa,71,,,N,N
2,13,5,20,68,67.6,67.8,Irrorata,86,,,N,N
2,13,6,20,68,67.6,67.8,Copto,69,,,N,N
3,1,1,35,95,94.6,96.6,Buenoa,32,,Z,N,N
3,1,2,35,95,94.6,96.6,Irrorata,49,,Z,N,N
3,1,3,35,95,94.6,96.6,Copto,26,,Z,N,N
3,1,4,35,95,94.6,96.6,Irrorata,NA,,Z,N,N
3,1,5,35,95,94.6,96.6,Control,69,,Z,N,N
3,1,6,35,95,94.6,96.6,Indica,11,,Z,N,N
3,2,1,27,80.6,82,80.2,Copto,57,,L,N,N
3,2,2,27,80.6,82,80.2,Irrorata,88,,L,N,N
3,2,3,27,80.6,82,80.2,Irrorata,78,,L,N,N
3,2,4,27,80.6,82,80.2,Indica,9,,L,N,N
3,2,5,27,80.6,82,80.2,Buenoa,60,,L,N,N
3,2,6,27,80.6,82,80.2,Control,99,,L,N,N
3,6,1,20,68,69.8,66.7,Control,96,,Z,N,N
3,6,2,20,68,69.8,66.7,Irrorata,23,,Z,N,N
3,6,3,20,68,69.8,66.7,Irrorata,64,,Z,N,N
3,6,4,20,68,69.8,66.7,Buenoa,59,,Z,N,N
3,6,5,20,68,69.8,66.7,Copto,72,,Z,N,N
3,6,6,20,68,69.8,66.7,Indica,15,,Z,N,N
3,9,1,30,86,89.5,84,Control,80,,L,N,N
3,9,2,30,86,89.5,84,Irrorata,50,,L,N,N
3,9,3,30,86,89.5,84,Copto,45,,L,N,N
3,9,4,30,86,89.5,84,Buenoa,45,,L,N,N
3,9,5,30,86,89.5,84,Irrorata,84,,L,N,N
3,9,6,30,86,89.5,84,Indica,2,,L,N,N
3,10,1,12,53.6,54,54.1,Copto,82,,Z,N,N
3,10,2,12,53.6,54,54.1,Irrorata,81,,Z,N,N
3,10,3,12,53.6,54,54.1,Buenoa,80,,Z,N,N
3,10,4,12,53.6,54,54.1,Irrorata,87,,Z,N,N
3,10,5,12,53.6,54,54.1,Control,93,,Z,N,N
3,10,6,12,53.6,54,54.1,Indica,34,,Z,N,N
3,13,1,32,89.6,88.9,91.2,Irrorata,86,,Z,N,N
3,13,2,32,89.6,88.9,91.2,Indica,1,,Z,N,N
3,13,3,32,89.6,88.9,91.2,Irrorata,78,,Z,N,N
3,13,4,32,89.6,88.9,91.2,Copto,53,,Z,N,N
3,13,5,32,89.6,88.9,91.2,Buenoa,17,,Z,N,N
3,13,6,32,89.6,88.9,91.2,Control,92,,Z,N,N
3,14,1,4,39.2,43.9,46,Irrorata,97,,Z,N,N
3,14,2,4,39.2,43.9,46,Indica,61,,Z,N,N
3,14,3,4,39.2,43.9,46,Copto,96,,Z,N,N
3,14,4,4,39.2,43.9,46,Buenoa,98,,Z,N,N
3,14,5,4,39.2,43.9,46,Irrorata,98,,Z,N,N
3,14,6,4,39.2,43.9,46,Control,92,,Z,N,N
3,16,1,25,77,77.2,77.2,Control,92,,Z,N,N
3,16,2,25,77,77.2,77.2,Indica,14,,Z,N,N
3,16,3,25,77,77.2,77.2,Irrorata,102,,Z,N,N
3,16,4,25,77,77.2,77.2,Buenoa,87,,Z,N,N
3,16,5,25,77,77.2,77.2,Copto,60,,Z,N,N
3,16,6,25,77,77.2,77.2,Irrorata,98,,Z,N,N
4,1,1,32,89.6,89.6,89.6,Buenoa,73,Z,L,N,N
4,1,2,32,89.6,89.6,89.6,Tramea,12,L,L,N,N
4,1,4,32,89.6,89.6,89.6,Control,95,Z,L,N,N
4,1,5,32,89.6,89.6,89.6,Indica,21,Z,L,N,N
4,4,1,27,80.6,80.1,80.4,Control,99,Z,Z,N,N
4,4,3,27,80.6,80.1,80.4,Copto,67,Z,Z,N,N
4,4,4,27,80.6,80.1,80.4,Pachy,69,Z,Z,N,N
4,4,5,27,80.6,80.1,80.4,Tramea,66,Z,Z,N,N
4,5,1,20,68,67.1,66.6,Control,99,Z,Z,N,N
4,5,2,20,68,67.1,66.6,Buenoa,81,L,Z,N,N
4,5,3,20,68,67.1,66.6,Indica,60,Z,Z,N,N
4,5,6,20,68,67.1,66.6,Tramea,89,Z,Z,N,N
4,6,1,30,86,88,86.7,Tramea,40,Z,L,N,N
4,6,2,30,86,88,86.7,Buenoa,64,Z,L,N,N
4,6,5,30,86,88,86.7,Indica,11,Z,L,N,N
4,6,6,30,86,88,86.7,Control,90,L,L,N,N
4,7,1,30,86,89.1,86.7,Pachy,82,Z,Z,N,N
4,7,3,30,86,89.1,86.7,Tramea,96,Z,Z,N,N
4,7,4,30,86,89.1,86.7,Copto,54,Z,Z,N,N
4,7,5,30,86,89.1,86.7,Control,90,L,Z,N,N
4,8,1,32,89.6,89.2,89.6,Pachy,77,Z,Z,N,N
4,8,3,32,89.6,89.2,89.6,Control,95,Z,Z,N,N
4,8,4,32,89.6,89.2,89.6,Copto,55,Z,Z,N,N
4,8,5,32,89.6,89.2,89.6,Tramea,43,L,Z,N,N
4,10,1,12,53.6,54.1,54,Tramea,95,Z,L,N,N
4,10,2,12,53.6,54.1,54,Indica,87,Z,L,N,N
4,10,3,12,53.6,54.1,54,Buenoa,80,Z,L,N,N
4,10,5,12,53.6,54.1,54,Control,96,Z,L,N,N
4,12,3,12,53.6,53.8,53.8,Tramea,100,Z,Z,N,N
4,12,4,12,53.6,53.8,53.8,Control,99,L,Z,N,N
4,12,5,12,53.6,53.8,53.8,Copto,93,Z,Z,N,N
4,12,6,12,53.6,53.8,53.8,Pachy,100,Z,Z,N,N
4,14,1,20,68,69.1,69.3,Control,100,Z,L,N,N
4,14,2,20,68,69.1,69.3,Pachy,79,Z,L,N,N
4,14,5,20,68,69.1,69.3,Copto,75,Z,L,N,N
4,14,6,20,68,69.1,69.3,Tramea,53,Z,L,N,N
4,15,1,25,77,76.8,79,Copto,78,Z,Z,N,N
4,15,2,25,77,76.8,79,Pachy,71,Z,Z,N,N
4,15,4,25,77,76.8,79,Tramea,79,Z,Z,N,N
4,15,6,25,77,76.8,79,Control,NA,Z,Z,N,N
5,1,1,5,39.2,46,46,Buenoa,79,L,L,N,N
5,1,2,5,39.2,46,46,Control,99,Z,L,N,N
5,1,3,5,39.2,46,46,Copto,72,L,L,N,N
5,1,5,5,39.2,46,46,Tramea,87,Z,L,N,N
5,2,1,30,86,85.6,85.6,Irrorata,90,Z,Z,N,N
5,2,2,30,86,85.6,85.6,Control,96,Z,Z,N,N
5,2,3,30,86,85.6,85.6,Pachy,47,Z,Z,N,N
5,2,5,30,86,85.6,85.6,Indica,60,L,Z,N,N
5,3,1,20,68,67.1,67.1,Indica,65,Z,L,N,N
5,3,2,20,68,67.1,67.1,Control,98,L,L,N,N
5,3,5,20,68,67.1,67.1,Pachy,80,Z,L,N,N
5,3,6,20,68,67.1,67.1,Irrorata,96,L,L,N,N
5,4,2,27,80.6,79.7,79.7,Indica,94,Z,Z,N,N
5,4,3,27,80.6,79.7,79.7,Pachy,55,L,Z,N,N
5,4,4,27,80.6,79.7,79.7,Irrorata,73,L,Z,N,N
5,4,5,27,80.6,79.7,79.7,Control,98,Z,Z,N,N
5,5,1,5,39.2,46.6,46.6,Indica,76,Z,L,N,N
5,5,2,5,39.2,46.6,46.6,Irrorata,99,L,L,N,N
5,5,4,5,39.2,46.6,46.6,Control,95,L,L,N,N
5,5,5,5,39.2,46.6,46.6,Pachy,98,Z,L,N,N
5,6,2,35,95,92.7,92.7,Buenoa,60,L,Z,N,N
5,6,3,35,95,92.7,92.7,Control,85,Z,Z,N,N
5,6,4,35,95,92.7,92.7,Pachy,66,Z,Z,N,N
5,6,6,35,95,92.7,92.7,Copto,44,Z,Z,N,N
5,7,1,32,89.6,89.6,89.6,Control,93,Z,L,N,N
5,7,2,32,89.6,89.6,89.6,Buenoa,62,L,L,N,N
5,7,3,32,89.6,89.6,89.6,Copto,43,L,L,N,N
5,7,4,32,89.6,89.6,89.6,Tramea,72,L,L,N,N
5,8,1,20,68,67.3,67.3,Copto,76,L,Z,N,N
5,8,4,20,68,67.3,67.3,Buenoa,75,L,Z,N,N
5,8,5,20,68,67.3,67.3,Control,98,Z,Z,N,N
5,9,1,12,53.6,63.3,63.3,Copto,74,Z,Z,N,N
5,9,3,12,53.6,63.3,63.3,Buenoa,88,Z,Z,N,N
5,9,4,12,53.6,63.3,63.3,Control,99,L,Z,N,N
5,9,6,12,53.6,63.3,63.3,Tramea,98,Z,Z,N,N
5,10,2,25,77,75.7,75.7,Pachy,89,Z,L,N,N
5,10,4,25,77,75.7,75.7,Indica,77,Z,L,N,N
5,10,5,25,77,75.7,75.7,Irrorata,96,L,L,N,N
5,10,6,25,77,75.7,75.7,Control,100,Z,L,N,N
5,11,3,12,53.6,53.8,53.8,Control,98,Z,Z,N,N
5,11,4,12,53.6,53.8,53.8,Pachy,93,Z,Z,N,N
5,11,5,12,53.6,53.8,53.8,Irrorata,97,Z,Z,N,N
5,11,6,12,53.6,53.8,53.8,Indica,57,L,Z,N,N
5,12,1,30,86,85.8,85.8,Tramea,9,Z,Z,N,Y
5,12,4,30,86,85.8,85.8,Control,94,Z,Z,N,N
5,12,5,30,86,85.8,85.8,Copto,62,Z,Z,N,N
5,12,6,30,86,85.8,85.8,Buenoa,83,L,Z,N,N
5,13,2,25,77,77.2,77.2,Tramea,22,Z,Z,N,N
5,13,3,25,77,77.2,77.2,Copto,80,L,Z,N,N
5,13,4,25,77,77.2,77.2,Control,98,Z,Z,N,N
5,13,5,25,77,77.2,77.2,Buenoa,80,Z,Z,N,N
5,14,1,27,80.6,80.4,80.4,Tramea,27,Z,Z,N,N
5,14,2,27,80.6,80.4,80.4,Control,98,L,Z,N,N
5,14,5,27,80.6,80.4,80.4,Copto,73,Z,Z,N,N
5,14,6,27,80.6,80.4,80.4,Buenoa,76,L,Z,N,N
5,15,2,32,89.6,92.5,92.5,Control,88,L,Z,N,N
5,15,3,32,89.6,92.5,92.5,Irrorata,79,L,Z,N,N
5,15,4,32,89.6,92.5,92.5,Indica,NA,,Z,N,N
5,15,5,32,89.6,92.5,92.5,Pachy,96,Z,Z,N,N
5,16,1,35,95,93.9,93.9,Indica,40,L,Z,N,N
5,16,2,35,95,93.9,93.9,Pachy,79,L,Z,N,N
5,16,3,35,95,93.9,93.9,Irrorata,95,Z,Z,N,N
5,16,4,35,95,93.9,93.9,Control,91,Z,Z,N,N
6,3,1,32,89.6,88.3,88.3,Pachy,98,L,L,N,N
6,3,2,32,89.6,88.3,88.3,Irrorata,82,Z,L,N,N
6,3,3,32,89.6,88.3,88.3,Control,99,Z,L,N,N
6,3,4,32,89.6,88.3,88.3,Buenoa,63,L,L,N,N
6,3,5,32,89.6,88.3,88.3,Buenoa,NA,,,N,N
6,3,6,32,89.6,88.3,88.3,Copto,62,Z,L,N,N
6,4,1,20,68,67.3,67.3,Control,99,Z,Z,N,N
6,4,2,20,68,67.3,67.3,Copto,85,Z,Z,N,N
6,4,3,20,68,67.3,67.3,Irrorata,48,Z,Z,N,N
6,4,4,20,68,67.3,67.3,Irrorata,55,L,Z,N,N
6,4,5,20,68,67.3,67.3,Pachy,79,Z,Z,N,N
6,4,6,20,68,67.3,67.3,Buenoa,77,L,Z,N,N
6,5,1,5,39.2,45.7,46.6,Copto,93,Z,Z,N,N
6,5,2,5,39.2,45.7,46.6,Irrorata,NA,,,N,N
6,5,3,5,39.2,45.7,46.6,Pachy,81,Z,Z,N,N
6,5,4,5,39.2,45.7,46.6,Buenoa,89,L,Z,N,N
6,5,5,5,39.2,45.7,46.6,Control,98,Z,Z,N,N
6,5,6,5,39.2,45.7,46.6,Pachy,97,Z,Z,N,N
6,8,1,35,95,95.2,94.8,Irrorata,95,Z,L,N,N
6,8,2,35,95,95.2,94.8,Copto,36,L,L,N,N
6,8,3,35,95,95.2,94.8,Pachy,18,Z,L,N,N
6,8,4,35,95,95.2,94.8,Buenoa,43,Z,L,N,N
6,8,5,35,95,95.2,94.8,Tramea,60,L,L,N,N
6,8,6,35,95,95.2,94.8,Control,92,Z,L,N,N
6,12,1,35,95,95.7,94.5,Irrorata,NA,,,N,N
6,12,2,35,95,95.7,94.5,Pachy,36,Z,Z,N,N
6,12,3,35,95,95.7,94.5,Control,93,L,Z,N,N
6,12,4,35,95,95.7,94.5,Buenoa,57,L,Z,N,N
6,12,5,35,95,95.7,94.5,Copto,41,Z,Z,N,N
6,12,6,35,95,95.7,94.5,Tramea,28,Z,Z,N,N
7,2,1,32,89.6,86.4,88.5,Copto,69,Z,Z,N,N
7,2,2,32,89.6,86.4,88.5,Buenoa,62,L,Z,N,N
7,2,3,32,89.6,86.4,88.5,Pachy,67,L,Z,N,N
7,2,4,32,89.6,86.4,88.5,Irrorata,88,L,Z,N,N
7,2,5,32,89.6,86.4,88.5,Control,102,Z,Z,N,N
7,2,6,32,89.6,86.4,88.5,Indica,91,Z,Z,N,N
7,3,1,35,95,94.8,93.7,Indica,9,L,Z,N,N
7,3,2,35,95,94.8,93.7,Control,97,L,Z,N,N
7,3,3,35,95,94.8,93.7,Pachy,74,,Z,N,N
7,3,4,35,95,94.8,93.7,Irrorata,NA,,Z,N,N
7,3,5,35,95,94.8,93.7,Buenoa,80,,Z,N,N
7,3,6,35,95,94.8,93.7,Copto,45,,Z,N,N
7,5,1,4,39.2,43.9,45.7,Copto,96,L,Z,N,N
7,5,2,4,39.2,43.9,45.7,Indica,93,Z,Z,N,N
7,5,3,4,39.2,43.9,45.7,Pachy,98,Z,Z,N,N
7,5,4,4,39.2,43.9,45.7,Control,99,Z,Z,N,N
7,5,5,4,39.2,43.9,45.7,Buenoa,95,Z,Z,N,N
7,5,6,4,39.2,43.9,45.7,Irrorata,90,L,Z,N,N
7,6,1,20,68,68.5,68.2,Copto,90,Z,Z,N,N
7,6,2,20,68,68.5,68.2,Pachy,78,Z,Z,N,N
7,6,3,20,68,68.5,68.2,Irrorata,79,Z,Z,N,N
7,6,4,20,68,68.5,68.2,Control,100,Z,Z,N,N
7,6,5,20,68,68.5,68.2,Indica,75,L,Z,N,N
7,6,6,20,68,68.5,68.2,Buenoa,90,L,Z,N,N
7,8,1,25,77,76.3,78.8,Pachy,81,L,Z,N,N
7,8,2,25,77,76.3,78.8,Indica,95,L,Z,N,N
7,8,3,25,77,76.3,78.8,Control,98,Z,Z,N,N
7,8,4,25,77,76.3,78.8,Buenoa,78,L,Z,N,N
7,8,5,25,77,76.3,78.8,Copto,69,L,Z,N,N
7,8,6,25,77,76.3,78.8,Irrorata,83,Z,Z,N,N
7,11,1,12,53.6,54.1,53.1,Indica,93,L,L,N,N
7,11,2,12,53.6,54.1,53.1,Irrorata,97,L,L,N,N
7,11,3,12,53.6,54.1,53.1,Control,95,Z,Z,N,N
7,11,4,12,53.6,54.1,53.1,Buenoa,87,L,L,N,N
7,11,5,12,53.6,54.1,53.1,Copto,90,Z,Z,N,N
7,11,6,12,53.6,54.1,53.1,Pachy,98,Z,Z,N,N
7,13,1,30,86,87.6,86.2,Buenoa,66,Z,L,N,N
7,13,2,30,86,87.6,86.2,Pachy,90,L,L,N,N
7,13,3,30,86,87.6,86.2,Control,101,Z,L,N,N
7,13,4,30,86,87.6,86.2,Indica,90,L,L,N,N
7,13,5,30,86,87.6,86.2,Copto,70,Z,L,N,N
7,13,6,30,86,87.6,86.2,Irrorata,97,Z,L,N,N
7,15,1,27,80.6,81.9,82.2,Pachy,90,L,L,N,N
7,15,2,27,80.6,81.9,82.2,Copto,60,Z,L,N,N
7,15,3,27,80.6,81.9,82.2,Control,95,Z,L,N,N
7,15,4,27,80.6,81.9,82.2,Irrorata,100,L,L,N,N
7,15,5,27,80.6,81.9,82.2,Indica,63,L,L,N,N
7,15,6,27,80.6,81.9,82.2,Buenoa,75,Z,L,N,N
7,16,1,35,95,95.9,94.5,Indica,59,L,L,N,N
7,16,2,35,95,95.9,94.5,Buenoa,62,Z,L,N,N
7,16,3,35,95,95.9,94.5,Copto,65,L,L,N,N
7,16,4,35,95,95.9,94.5,Control,101,Z,L,N,N
7,16,5,35,95,95.9,94.5,Pachy,65,Z,L,N,N
7,16,6,35,95,95.9,94.5,Irrorata,61,L,L,N,N
8,3,1,35,95,94.5,95,Copto,43,Z,Z,N,N
8,3,2,35,95,94.5,95,Indica,7,Z,Z,Y,N
8,3,3,35,95,94.5,95,Control,88,Z,Z,N,N
8,3,6,35,95,94.5,95,Buenoa,64,Z,Z,N,N
8,6,1,20,68,69.9,71.4,Control,98,Z,L,N,N
8,6,2,20,68,69.9,71.4,Indica,,Z,L,N,N
8,6,4,20,68,69.9,71.4,Buenoa,62,L,L,N,N
8,6,6,20,68,69.9,71.4,Copto,47,Z,L,N,N
8,7,1,12,53.6,61,61,Indica,79,Z,Z,Y,N
8,7,2,12,53.6,61,61,Buenoa,98,Z,Z,N,N
8,7,3,12,53.6,61,61,Control,100,L,Z,N,N
8,7,4,12,53.6,61,61,Copto,97,Z,Z,N,N
8,8,1,4,39.2,57.7,57.7,Indica,86,L,L,N,N
8,8,2,4,39.2,57.7,57.7,Buenoa,88,Z,L,N,N
8,8,4,4,39.2,57.7,57.7,Copto,92,L,L,N,N
8,8,6,4,39.2,57.7,57.7,Control,100,L,L,N,N
8,9,1,25,77,79.3,76.5,Indica,66,Z,Z,N,N
8,9,4,25,77,79.3,76.5,Copto,,L,Z,N,N
8,9,5,25,77,79.3,76.5,Control,95,L,Z,N,N
8,9,6,25,77,79.3,76.5,Buenoa,NA,Z,Z,N,N
8,11,1,32,89.6,89.8,90.1,Control,91,Z,Z,N,N
8,11,2,32,89.6,89.8,90.1,Buenoa,71,Z,Z,N,N
8,11,3,32,89.6,89.8,90.1,Copto,86,L,Z,N,N
8,11,4,32,89.6,89.8,90.1,Indica,,Z,Z,N,N
8,12,2,30,86,83.8,85.8,Buenoa,57,Z,Z,N,N
8,12,4,30,86,83.8,85.8,Control,93,L,Z,N,N
8,12,5,30,86,83.8,85.8,Copto,67,Z,Z,N,N
8,12,6,30,86,83.8,85.8,Indica,7,Z,Z,Y,N
8,16,1,27,80.6,86.5,83.8,Indica,9,,L,N,N
8,16,3,27,80.6,86.5,83.8,Copto,96,,L,N,N
8,16,4,27,80.6,86.5,83.8,Control,98,,L,N,N
8,16,6,27,80.6,86.5,83.8,Buenoa,NA,,L,N,N
9,2,1,32,89.6,90.1,89.8,Pachy,9,L,L,N,N
9,2,2,32,89.6,90.1,89.8,Copto,54,Z,L,N,N
9,2,3,32,89.6,90.1,89.8,Pachy,31,Z,L,N,N
9,2,4,32,89.6,90.1,89.8,Control,100,L,L,N,N
9,2,5,32,89.6,90.1,89.8,Indica,47,L,L,N,N
9,2,6,32,89.6,90.1,89.8,Pachy,16,Z,L,N,N
9,3,2,20,68,70.2,69.6,Pachy,47,L,Z,N,N
9,3,3,20,68,70.2,69.6,Pachy,80,Z,Z,N,N
9,3,4,20,68,70.2,69.6,Copto,64,L,Z,N,N
9,3,5,20,68,70.2,69.6,Control,96,Z,Z,N,N
9,3,6,20,68,70.2,69.6,Indica,60,Z,Z,N,N
9,4,1,35,95,95.5,93.7,Pachy,18,Z,L,N,N
9,4,2,35,95,95.5,93.7,Control,93,Z,L,N,N
9,4,3,35,95,95.5,93.7,Indica,26,L,L,N,N
9,4,4,35,95,95.5,93.7,Pachy,8,L,L,N,N
9,4,5,35,95,95.5,93.7,Copto,60,Z,L,N,N
9,4,6,35,95,95.5,93.7,Buenoa,59,L,L,N,N
9,5,1,12,53.6,52.9,52.7,Copto,92,L,L,N,N
9,5,2,12,53.6,52.9,52.7,Indica,47,L,L,N,N
9,5,3,12,53.6,52.9,52.7,Pachy,92,Z,L,N,N
9,5,4,12,53.6,52.9,52.7,Control,94,Z,L,N,N
9,5,5,12,53.6,52.9,52.7,Pachy,73,L,L,N,N
9,6,2,27,80.6,81.1,80.8,Pachy,30,Z,L,N,Y
9,6,3,27,80.6,81.1,80.8,Pachy,32,Z,Z,N,Y
9,6,4,27,80.6,81.1,80.8,Control,99,,Z,N,N
9,6,5,27,80.6,81.1,80.8,Copto,47,L,Z,N,N
9,6,6,27,80.6,81.1,80.8,Indica,34,L,Z,N,N
9,10,1,4,39.2,44.6,45.1,Pachy,56,L,Z,N,N
9,10,2,4,39.2,44.6,45.1,Pachy,63,Z,Z,N,N
9,10,3,4,39.2,44.6,45.1,Copto,92,L,Z,N,N
9,10,4,4,39.2,44.6,45.1,Control,78,Z,Z,N,N
9,10,5,4,39.2,44.6,45.1,Buenoa,81,L,Z,N,N
9,10,6,4,39.2,44.6,45.1,Indica,49,Z,Z,N,N
9,15,1,25,77,79.9,79.3,Indica,19,Z,Z,Y,N
9,15,2,25,77,79.9,79.3,Pachy,15,Z,Z,N,N
9,15,3,25,77,79.9,79.3,Pachy,41,L,Z,N,N
9,15,5,25,77,79.9,79.3,Control,96,L,Z,N,N
9,15,6,25,77,79.9,79.3,Copto,62,L,Z,N,N
9,16,1,30,86,86.7,87.3,Copto,57,L,Z,N,N
9,16,2,30,86,86.7,87.3,Buenoa,66,L,Z,N,N
9,16,3,30,86,86.7,87.3,Indica,39,L,Z,N,N
9,16,4,30,86,86.7,87.3,Control,97,Z,Z,N,N
9,16,5,30,86,86.7,87.3,Pachy,19,Z,Z,N,N
9,16,6,30,86,86.7,87.3,Pachy,57,Z,Z,N,N